iter	Passed	Remaining
604	2520	1645
605	2524	1641
606	2527	1636
607	2531	1632
608	2534	1627
609	2538	1623
610	2542	1618
611	2545	1614
612	2549	1609
613	2553	1605
614	2556	1600
615	2560	1596
616	2564	1591
617	2567	1587
618	2571	1582
619	2575	1578
620	2579	1574
621	2582	1569
622	2586	1565
623	2589	1560
624	2594	1556
625	2598	1552
626	2601	1547
627	2605	1543
628	2609	1539
629	2613	1534
630	2617	1530
631	2620	1525
632	2624	1521
633	2628	1517
634	2631	1512
635	2635	1508
636	2639	1504
637	2643	1500
638	2647	1495
639	2651	1491
640	2655	1486
641	2659	1482
642	2662	1478
643	2666	1473
644	2670	1469
645	2674	1465
646	2678	1461
647	2681	1456
648	2685	1452
649	2689	1448
650	2692	1443
651	2696	1439
652	2699	1434
653	2703	1430
654	2707	1426
655	2711	1421
656	2714	1417
657	2718	1412
658	2721	1408
659	2725	1403
660	2728	1399
661	2732	1395
662	2736	1390
663	2739	1386
664	2743	1381
665	2746	1377
666	2750	1373
667	2753	1368
668	2757	1364
669	2760	1359
670	2764	1355
671	2768	1351
672	2771	1346
673	2775	1342
674	2779	1338
675	2782	1333
676	2786	1329
677	2790	1325
678	2794	1320
679	2797	1316
680	2801	1312
681	2804	1307
682	2808	1303
683	2812	1299
684	2816	1295
685	2820	1290
686	2824	1286
687	2827	1282
688	2831	1278
689	2835	1273
690	2839	1269
691	2843	1265
692	2846	1261
693	2850	1256
694	2854	1252
695	2857	1248
696	2861	1243
697	2865	1239
698	2869	1235
699	2872	1231
700	2876	1226
701	2879	1222
702	2883	1218
703	2887	1214
704	2891	1209
705	2894	1205
706	2898	1201
707	2902	1197
708	2906	1192
709	2909	1188
710	2913	1184
711	2917	1180
712	2920	1175
713	2924	1171
714	2927	1167
715	2931	1162
716	2935	1158
717	2938	1154
718	2942	1149
719	2945	1145
720	2949	1141
721	2952	1136
722	2956	1132
723	2960	1128
724	2963	1124
725	2967	1119
726	2970	1115
727	2974	1111
728	2977	1106
729	2981	1102
730	2984	1098
731	2988	1094
732	2991	1089
733	2995	1085
734	2999	1081
735	3002	1077
736	3006	1072
737	3009	1068
738	3013	1064
739	3016	1059
740	3020	1055
741	3024	1051
742	3028	1047
743	3032	1043
744	3036	1039
745	3040	1035
746	3044	1031
747	3047	1026
748	3051	1022
749	3055	1018
750	3059	1014
751	3063	1010
752	3067	1006
753	3071	1001
754	3074	997
755	3078	993
756	3082	989
757	3086	985
758	3090	981
759	3094	977
760	3098	973
761	3102	969
762	3106	964
763	3110	960
764	3114	956
765	3117	952
766	3121	948
767	3125	944
768	3129	940
769	3133	935
770	3137	931
771	3141	927
772	3145	923
773	3149	919
774	3153	915
775	3157	911
776	3161	907
777	3164	903
778	3168	898
779	3171	894
780	3175	890
781	3179	886
782	3182	882
783	3186	877
784	3189	873
785	3193	869
786	3196	865
787	3199	860
788	3203	856
789	3206	852
790	3210	848
791	3214	844
792	3218	840
793	3222	836
794	3226	831
795	3229	827
796	3233	823
797	3236	819
798	3240	815
799	3244	811
800	3248	806
801	3251	802
802	3255	798
803	3259	794
804	3262	790
805	3266	786
806	3270	782
807	3274	778
808	3277	773
809	3281	769
810	3284	765
811	3288	761
812	3292	757
813	3296	753
814	3299	749
815	3303	744
816	3307	740
817	3310	736
818	3314	732
819	3318	728
820	3322	724
821	3325	720
822	3329	715
823	3332	711
824	3336	707
825	3340	703
826	3343	699
827	3347	695
828	3351	691
829	3354	687
830	3358	682
831	3361	678
832	3365	674
833	3369	670
834	3373	666
835	3376	662
836	3380	658
837	3383	654
838	3387	650
839	3390	645
840	3394	641
841	3398	637
842	3401	633
843	3405	629
844	3408	625
845	3412	621
846	3416	617
847	3419	612
848	3423	608
849	3426	604
850	3430	600
851	3434	596
852	3437	592
853	3441	588
854	3444	584
855	3448	580
856	3452	576
857	3455	571
858	3459	567
859	3463	563
860	3467	559
861	3470	555
862	3474	551
863	3478	547
864	3482	543
865	3485	539
866	3489	535
867	3493	531
868	3497	527
869	3501	523
870	3506	519
871	3511	515
872	3515	511
873	3519	507
874	3523	503
875	3526	499
876	3530	495
877	3534	491
878	3538	487
879	3541	482
880	3545	478
881	3549	474
882	3553	470
883	3557	466
884	3560	462
885	3564	458
886	3568	454
887	3572	450
888	3575	446
889	3579	442
890	3583	438
891	3587	434
892	3590	430
893	3594	426
894	3598	422
895	3601	418
896	3605	413
897	3609	409
898	3612	405
899	3616	401
900	3619	397
901	3623	393
902	3626	389
903	3630	385
904	3633	381
905	3637	377
906	3641	373
907	3644	369
908	3648	365
909	3651	361
910	3655	357
911	3659	353
912	3662	349
913	3666	344
914	3669	340
915	3673	336
916	3677	332
917	3681	328
918	3684	324
919	3688	320
920	3692	316
921	3696	312
922	3700	308
923	3703	304
924	3707	300
925	3711	296
926	3715	292
927	3718	288
928	3722	284
929	3726	280
930	3729	276
931	3733	272
932	3737	268
933	3741	264
934	3745	260
935	3748	256
936	3752	252
937	3756	248
938	3759	244
939	3763	240
940	3767	236
941	3770	232
942	3774	228
943	3778	224
944	3782	220
945	3786	216
946	3791	212
947	3795	208
948	3799	204
949	3802	200
950	3806	196
951	3810	192
952	3813	188
953	3817	184
954	3820	180
955	3823	175
956	3827	171
957	3831	167
958	3834	163
959	3838	159
960	3842	155
961	3846	151
962	3850	147
963	3853	143
964	3857	139
965	3861	135
966	3864	131
967	3868	127
968	3871	123
969	3875	119
970	3878	115
971	3882	111
972	3886	107
973	3889	103
974	3893	99
975	3897	95
976	3900	91
977	3904	87
978	3908	83
979	3911	79
980	3915	75
981	3919	71
982	3923	67
983	3926	63
984	3930	59
985	3934	55
986	3938	51
987	3941	47
988	3945	43
989	3949	39
990	3953	35
991	3956	31
992	3960	27
993	3963	23
994	3967	19
995	3972	15
996	3977	11
997	3981	7
998	3985	3
999	3989	0
